Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;;Total;2024M09;1.183.069
Number of stays;National Total;;Total;2024M08;1.523.326
Number of stays;National Total;;Total;2024M07;1.365.367
Number of stays;National Total;;Total;2024M06;1.139.722
Number of stays;National Total;;Total;2024M05;1.127.690
Number of stays;National Total;;Total;2024M04;947.609
Number of stays;National Total;;Total;2024M03;921.116
Number of stays;National Total;;Total;2024M02;717.598
Number of stays;National Total;;Total;2024M01;589.595
Number of stays;National Total;;Total;2023M12;760.000
Number of stays;National Total;;Total;2023M11;670.000
Number of stays;National Total;;Total;2023M10;930.000
Number of stays;National Total;;Total;2023M09;1.018.000
Number of stays;National Total;;Total;2023M08;1.285.000
Number of stays;National Total;;Total;2023M07;1.162.000
Number of stays;National Total;;Total;2023M06;934.000
Number of stays;National Total;;Total;2023M05;819.000
Number of stays;National Total;;Total;2023M04;922.000
Number of stays;National Total;;Total;2023M03;642.000
Number of stays;National Total;;Total;2023M02;547.000
Number of stays;National Total;;Total;2023M01;480.000
Number of stays;National Total;;Total;2022M12;588.000
Number of stays;National Total;;Total;2022M11;512.000
Number of stays;National Total;;Total;2022M10;729.000
Number of stays;National Total;;Total;2022M09;839.000
Number of stays;National Total;;Total;2022M08;1.097.000
Number of stays;National Total;;Total;2022M07;1.025.000
Number of stays;National Total;;Total;2022M06;805.000
Number of stays;National Total;;Total;2022M05;687.000
Number of stays;National Total;;Total;2022M04;714.000
Number of stays;National Total;;Total;2022M03;472.000
Number of stays;National Total;;Total;2022M02;433.000
Number of stays;National Total;;Total;2022M01;343.000
Number of stays;National Total;;Total;2021M12;460.000
Number of stays;National Total;;Total;2021M11;403.000
Number of stays;National Total;;Total;2021M10;583.000
Number of stays;National Total;;Total;2021M09;596.000
Number of stays;National Total;;Total;2021M08;890.000
Number of stays;National Total;;Total;2021M07;752.000
Number of stays;National Total;;Total;2021M06;449.000
Number of stays;National Total;;Total;2021M05;303.000
Number of stays;National Total;;Total;2021M04;193.000
Number of stays;National Total;;Total;2021M03;169.000
Number of stays;National Total;;Total;2021M02;99.000
Number of stays;National Total;;Total;2021M01;104.000
Number of stays;National Total;;Total;2020M12;151.000
Number of stays;National Total;;Total;2020M11;97.000
Number of stays;National Total;;Total;2020M10;218.000
Number of stays;National Total;;Total;2020M09;305.000
Number of stays;National Total;;Total;2020M08;635.000
Number of stays;National Total;;Total;2020M07;488.000
Number of stays;National Total;;Total;2020M06;141.000
Number of stays;National Total;;Total;2020M05;32.000
Number of stays;National Total;;Total;2020M04;14.000
Number of stays;National Total;;Total;2020M03;198.000
Number of stays;National Total;;Total;2020M02;504.000
Number of stays;National Total;;Total;2020M01;422.000
Number of stays;National Total;;Total;2019M12;526.000
Number of stays;National Total;;Total;2019M11;484.000
Number of stays;National Total;;Total;2019M10;682.000
Number of stays;National Total;;Total;2019M09;795.000
Number of stays;National Total;;Total;2019M08;1.027.000
Number of stays;National Total;;Total;2019M07;883.000
Number of stays;National Total;;Total;2019M06;768.000
Number of stays;National Total;;Total;2019M05;681.000
Number of stays;National Total;;Total;2019M04;665.000
Number of stays;National Total;;Total;2019M03;510.000
Number of stays;National Total;;Total;2019M02;417.000
Number of stays;National Total;;Total;2019M01;387.000
Number of stays;National Total;;Total;2018M12;449.000
Number of stays;National Total;;Total;2018M11;423.000
Number of stays;National Total;;Total;2018M10;610.000
Number of stays;National Total;;Total;2018M09;710.000
Number of stays;National Total;;Total;2018M08;908.000
Number of stays;National Total;;Total;2018M07;807.000
Number of stays;National Total;;Total;2018M06;653.000
Number of stays;National Total;;Total;2018M05;579.000
Number of stays;National Total;;Total;2018M04;539.000
Number of stays;National Total;;Total;2018M03;487.000
Number of stays;National Total;;Total;2018M02;356.000
Number of stays;National Total;;Total;2018M01;328.000
Number of stays;National Total;;Residents in Spain;2024M09;491.073
